provider_name,provider_type,address,emirate
Al Quaa Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Quaa Al Quaa Al Quaa,Al Ain
Al Raneen Medical Center,Clinic,"Lucky Plaza Building, M2 Floor   Town Center",Al Ain
Al Shifa Medical Clinic,Clinic,"Al Otaiba Building Near Adnoc Petrol Town Centre, Clock Tower",Al Ain
Al Shueib Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Shueib Al Shueib Al Shueib,Al Ain
Al Sultan Advanced Polyclinic,Clinic,Al Mohammed Sultan Balyazia Al Khalifa Bin Zayed Street Falaj Hazza,Al Ain
Al Towayya Children'S Specialty Center,Clinic,111Th St. Al Towayya ,Al Ain
Al Waqar Medical Centre,Clinic,Mohdsherifalkhuribldg Behind Omeir Travels  Murraba,Al Ain
Al Yahar Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Al Yahar Al Yahar Al Yahar,Al Ain
Al Zhoor Medical Center,Clinic,Alneyadibuildingalainuae  Aud Althoba Street,Al Ain
Almagd Medical Center Sole Proprietorship LLC,Clinic,Behindalmahood Nahyan Strt Littaq,Al Ain
Alostora Medical Center,Clinic,Road 15 Batha Al Hayer  Sanaiya,Al Ain
Alpine Medical Centre,Clinic,"Office 2,First Floor, Hayat Town Center, Zayed Bin Sultan Street  Central District",Al Ain
American Center For Psychiatry And Neuro,Clinic,"Villa 1, American Centre Bldg Khalifa Bin Zayed, The First Moatared Area",Al Ain
Bin Sulmeian Medical Center,Clinic,Binsulaimanmedicalcentre Near Oasis Hospital  Sanaiya Road,Al Ain
Blood Bank Center ,Clinic,Jimi -   Al Ain,Al Ain
Burjeel Medical Centre Barari Llc (VPS),Clinic,Usf-002 Barari Outlet Mall Barari,Al Ain
Classic Care Medical Centre,Clinic,"1535 Building,Flat 105,06 Sweihan Al Hayer Road Al Saad Street,Near Fab Bank",Al Ain
Cure Plus Medical Center,Clinic,Station Al Mharka Adnoc Petrol Al Khabisi,Al Ain
Diamond Medical Center,Clinic,"Bldg 160, Mohd Rasol Khori Near Hardees Khalifa St.",Al Ain
Disease Prevention & Screening Ctr-SEHA,Clinic,And Screening Center-Alain And Screening Center-Alain And Screening Center-Alain,Al Ain
Dr. Khalid Al Jamal Medical Center,Clinic,"Al Jimy Area, Opp Al Jimy Hosp Juma Abdulla Shaheen Al Marar Al Mutarad",Al Ain
Dr. Nashaat Clinic,Clinic,"Office # 20, 2Nd Floor, Panaso Street # 137 Centrdistrict",Al Ain
Emirates International Polyclinic,Clinic,Mahmoud Al Bloushi Building Al Ain Cooperative Society Town Center,Al Ain
Fatima Medical Centre,Clinic,"2Nd Floor, Himat Helal Jewellery Building, Opposite Omier Travel Agency Building Jaba Street Jaba Street",Al Ain
Gems Medical Clinic-Llc,Clinic,"Flat No.8, Shk Mohd Al Shamsi Murabbah, Town Center Al Ain",Al Ain
Hanadi Clinic,Clinic,"Villa 4  1St Street, Al Safra 1St, Al Sanaiya",Al Ain
Healing Touch Medical Center ,Clinic,Above Aati Laundry Baladiya Street Al Jimi,Al Ain
Health & Beauty Polyclinic Llc,Clinic,Near Al Ain Hospital Saeed Bin Tahnoon Al Awwal St. Al Mowaiji,Al Ain
High Life Medical Center,Clinic,Abdullahbinbldg Flat No. 202  Niyadat,Al Ain
Imperial College Diabetes Centre Llc Br,Clinic,Beside Tawam Hospital Khalifa Bin Zayed St Al Maqam,Al Ain
Khyberwaziristan Medical Clinic,Clinic,"Abdulla Ali Hamid,1St Floor Sanaiya Street Sanaiya Industrial Area",Al Ain
Mahboob Medical Center,Clinic,Office 7 Mohammed Al Balousi Bldg. Plot 218  Al Mutawaa,Al Ain
Marbella Medical Center,Clinic,Villa 2-10 10Th Street (Near Fatima Hm) Al Qattara,Al Ain
Medstar Clinics Sanaiya Alain Llc,Clinic,Al Ain Tower Strt Al Ain,Al Ain
Mezyad Primary Health Care Center-SEHA (No Dental Services On Direct Billing),Clinic,Mezyad Mezyad Mezyad,Al Ain
Modern Centre,Clinic,Near Meena Bazarabove Atlas Je Meena Road Meena Road,Al Ain
Mubarak Medical Centre,Clinic,Near K.M. Trading Zayed Bin Sultan Street Centrdistrict,Al Ain
Neima Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Neima District Neima District Neima District,Al Ain
Noor Alahli Medical Center (Ahalia),Clinic,Building 243 Near Old Police Station Sanaya,Al Ain
Orthoplus Bone And Joint Center,Clinic,Alfardanbuilding Same Building Of Al Fardan Exchange  Central District,Al Ain
Oud Al Toba Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Hamdan Bin Mohammed Street Hamdan Bin Mohammed Street Hamdan Bin Mohammed Street,Al Ain
Pride Medical Center,Clinic,"Al Said Mohammad Bl Abid,Flat1 To 6 Near Abdullah Pharmacy Street 15 Th ",Al Ain
Pyramids Dialysis Center- L.L.C.,Clinic,Street No 24 Villa Num-1 Neima,Al Ain
Remah Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Remah Remah Remah,Al Ain
Spectrum Medical Center Branch 1,Clinic,"1St Floor Shobra Building, Etihad Aiways Office Main Street Town Center",Al Ain
Sun Medical Clinic Br 1 (Sun Medical Grp,Clinic,Gulf Sun Hyper Market Building Street 7 Al Ain Industrial Area,Al Ain
Sun Medical Clinic(Sun Medical Group),Clinic,Mahmoud Al Baloushi Building End Of Street4 Al Ain Industrail Area,Al Ain
Sweihan Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Sweihan Sweihan Sweihan,Al Ain
Tajmeel Cosmo Clinic L.L.C,Clinic,Barari Outlet Mall  Al Dhaher,Al Ain
Tawam Ivf Center,Clinic,Tawam Roundabout   Al Ain,Al Ain
The Heart Medical Center Llc,Clinic,Bldg. 26 2Nd Street Opp. Al Ain Hospital Al Mutaredh,Al Ain
Ultra Medical Center,Clinic,Bldg 20 Jimi Mall Al Jimi Mall Al Ain,Al Ain
Urgent Care Medical Center ,Clinic,Fine Travel Bldg Near Clocktower Roundabout  Zayed Bin Sultan Street.,Al Ain
Zakher Primary Health Care Ctr-SEHA (No Dental Services On Direct Billing),Clinic,Zaker Zaker Zaker,Al Ain
Abeer  Al Noor Polyclinic,Clinic,Bu Hussain Building. Doha Road. Qusais,Dubai
Abeer Al Noor Poly Clinic Llc-Deira,Clinic,Afra Al Shaikh Majren Building Behind Al Futtaim Masjid Deira,Dubai
Abeer Al Noor Poly Clinic Llc-Muhaisina,Clinic,"Musthafa Mall ,Suite No.6 & 31 Same Building Of Grand Hyperma Muhaisnah -2",Dubai
Abris Medical Center L.L.C.,Clinic,"Meena Bazaar Building 29, 50B Street Bur Dubai",Dubai
Abu Hail Clinic (DHA),Clinic,Opposite To Habib Bakery Alrasheed Road Abu Hail Area,Dubai
Access Clinic - Dip (Aster),Clinic,"Mezannine Floor, Unit No 2 & 3 Ramla Street Dip",Dubai
Access Clinic Al Quoz Br. (Aster),Clinic,Ground Flr Al Arif Bldg Near Uae Exchange Al Quoz 3,Dubai
Access Clinic Bur Dubai (Aster),Clinic,Souq Al Kabeer Next To Al Ghubaiba Bus Burdubai,Dubai
Access Clinic Dic Br Dm Healthcare Llc,Clinic,"First Floor, Shop # 39 -42, Saih Shuaib 2, Al Madeena Hype Sapphire Mall,Dxb Indust Park",Dubai
Access Clinic Dip 2 (Aster),Clinic,Shop 7 Grnd Flr Kadris Mall Majelan Al Madena Supermarket Dip 2 Jabel Ali,Dubai
Access Clinic International City (Aster),Clinic,I -11 Morroco Cluster International City ,Dubai
Access Clinic Jafza (Aster),Clinic,Food Court 3 Jafza ,Dubai
Access Clinic Persia Cluster (Aster),Clinic,Shop 10 Ground Persia N04 International City Persia Zone,Dubai
Access Clinic Sonapur (Aster),Clinic,Sameya Khalifa Mohd Alfuqaei 24Th Street Sonapur,Dubai
Access Clinic Sonapur 2 (Aster),Clinic,"1St Fl Shop4,Dxb Municipality Near Al Qusais Bus Stn Muhaisina 2, Sonapur",Dubai
Access Clinic-Al Shaab Clinic (Aster),Clinic,"1St Floor, Above Migna¿S Jewwl Opp. Gold Souq Bus Station Deira",Dubai
Ace Medical Centres (Br Of Medi Centres,Clinic,"Dubai Land Residence Comp Skycourts Tower D, Ground Flr Dxb-Aln Rd,Dubai Academic City",Dubai
Advanced Care Med Ctr (Advanced Grp),Clinic,Near By Al Ahalia Exchange Industrial Area 3 Qouz,Dubai
Advanced Care Med Ctr Br(Advanced Grp),Clinic,Dip Phase 2 Jebel Ali ,Dubai
Advanced Care Medical Center - Branch,Clinic,"Shop Number : 4 & 5 Seihshoweb 4, Labour City 3,, Dubai Industrail Area",Dubai
Advanced Care Medical Center -(Branch),Clinic,Pasons Shopping Centre Buildin Irat Floor Alquoz 2,Dubai
Advanced Care Medical Center Branch,Clinic,Shaklan Hypermarket 2 Muhaisnah 2 Sonapur,Dubai
Airport Medical Center (DHA),Clinic,Concourse C Airport Terminal 1 Dubai International Airport,Dubai
Airport Medical Centre (DHA),Clinic,Al Maktoum International Airpo Jebal Ali Jebal Ali,Dubai
Airport Medical Centre (DHA),Clinic,Concourse A Airport Terminal 3 Dubai International Airport,Dubai
Airport Medical Centre (DHA),Clinic,Concourse B Airport Terminal 3 Dubai International Airport,Dubai
Airport Medical Centre (DHA),Clinic,Concourse D Airport Terminal 1 Dubai International Airport,Dubai
Al Abrah Clinic,Clinic,"Office 1011St Floorshaikha Lat Gold Souq Street Ras Area,Deira",Dubai
Al Amal Polyclinic,Clinic,Al Shamsi Opp.Emirates Nbd Bank  Satwa,Dubai
Al Aman Medical Centre (Bhatia),Clinic,"Flat 301, Pearl Bldg Above Jesco Supermarket Baniyas Square,Deira",Dubai
Al Aweer Medical Clinic (Aster),Clinic,"Ground Floor, P-122 Near Eppco Industrial Area 2, Khail Road Ras Khor,Bur Dubai",Dubai
Al Azhar Clinic - Branch (Sanaiya),Clinic,Industrial Area 1 Jebel Ali Nr Madina Supermrkt,Dubai
Al Azhar Clinic - Branch 2 (Sanaiya),Clinic,Dubai Investment Park 2 Emirates Park Bldg Nr Parco Supermarket,Dubai
Al Azhar Clinic (Sanaiya),Clinic,"Dubai Investment Park 1 Shop No 4, Ali Mesmar Bldg Behind Remco Supermarket",Dubai
Al Azhar Clinic 4 (Br Of Al Azhar Clinic,Clinic,Xpo Mall Near Madinat Hypermarket Jabel Ali Industrial-3,Dubai
Al Azhar Clinic Branch3,Clinic,Shop No 12 Nearvegetable And Fruit Market Ras Al Khor,Dubai
Al Badaa Health Centre (DHA),Clinic,Trade Center 1 Shk Zayed Road Al Badae,Dubai
Al Barshaalnoor Polyclinic L.L.C,Clinic,Elite Business Center Floor Infront Of Lulu Centre Al Barsha,Dubai
Al Bayan Medical Centre,Clinic,"58 B Street Opposite White Hou Naif Road Naif,Deira",Dubai
Al Diyafa Modern Med Centre,Clinic,211 Sheikrashid Bin Khalifa Al Dhiyafa Road Satwa,Dubai
Al Falah Medical Clinic,Clinic,Abbasy Building Naif Deira,Dubai
Al Khail Medical Center,Clinic,Ground Flooralqouz Mall Alqouz Mall Street Qouz 3,Dubai
Al Khail Medical Center - Dip,Clinic,Fida Al Madina Building Dubai Investment Park 2 Dubai Investment Park,Dubai
Al Lubnani Medical Centre Llc- Dubai Br,Clinic,Elite Business Center 605 Behind Mall Of Emirates Al Barsha,Dubai
Al Majid Clinic,Clinic,"Next To Tara Hotel, Nad Furnit Al Maktoum Road Baniyas Square",Dubai
Al Munira Clinic,Clinic,"Royal Pharmacy Buildingopposit Khalid Bin Waleed Road Al Souk,Bur Dubai",Dubai
Al Murjan Medical Center,Clinic,"102 Brashy Building, Near Scan 3Rd Interchange Sheikh Zayed Road",Dubai
Al Musalla Medical Centre Br (Avivo),Clinic,"M Floor,Musalla Towr Khalid Bin Alwaleed Road Bur Dubai",Dubai
Al Noor Polyclinic (Amber-GHI),Clinic,"F-1; Saif Center, Opp. Alfutta Naif Road Naif,Deira",Dubai
Al Noor Polyclinic-Satwa (Amber-GHI),Clinic,"Al Bakhita Building Opp Lal'S Hudaiba Street Satwa,Bur Dubai",Dubai
Al Qasais Star Polyclinic,Clinic,"Abduallah Al Saed Building,Fir Damascus Street Qusais,Deira",Dubai
Al Qouz Primecorp Medical Center,Clinic,"Behind National Cement Factory Al Rostamani Area Industrial Area 1,Bur Dubai",Dubai
Al Quoz City Star Polyclinic,Clinic,"Al Rostamani Building 1St Floor, Flat No.105 Al Quoz",Dubai
Al Raas Private Medical Clinic ,Clinic,Flat 207 2Nd Floor Karama Center Building   Kuwait Street Al Karama,Dubai
Al Rafa Polyc Br  Healthcare (Aster)A+,Clinic,"G/F, Icon Tower, Near Byblos H Tecom Barsha",Dubai
Al Rafa Polyclinic - Intl City (Aster),Clinic,V-20 Russian Cluster Building Russian Cluster International City,Dubai
Al Raha Medical Clinic,Clinic,"Al Abbas Building # 1, Next To Khalid Bin Waleed Road Burjuman,Bur Dubai",Dubai
Al Rashidiya Al Noor Polyclinic,Clinic,"Al Noor Polyclinic Building, B Bin Sougath Centre Street Al Rashidiya",Dubai
Al Rashidiya Private Polyclinic,Clinic,"Rta Parking Bldg, Opp: Ambassador Hotel Al Falah Street, Bur Dubai",Dubai
Al Sanaiya Medical Clinic - Br (Sanaiya),Clinic,Al Qouz 4 Al Gemzi Bldg Above Sahat Al Madina Suprmrkt,Dubai
Al Sanaiya Medical Clinic (Sanaiya),Clinic,"Muhaisnah 2, Sonapur Grnd Flr Bel Rasheed Bldg Near Medical Fitness Centr",Dubai
Al Shaab Medical Centre (Aster),Clinic,"Nearby Talal Supermarket 21 C Street, Al Shaab Colony Hor Anz",Dubai
Al Shifa Al Khaleeji Medical Center Dip,Clinic,"Bayan Busisness Center, Opp. Nibras Int. School, Green Community  Dubai Investment Park",Dubai
Al Shifa International Clinic,Clinic,Al Shamali Building Al Faheedi  Street Bur Dubai,Dubai
Al Shifa International Clinic L.L.C- Bra,Clinic,Water Front Omran Orange Camp Jabelali,Dubai
Al Tadawi Medical Centre,Clinic,Al Masaood Building Port Saeed Road Deira,Dubai
Al Tadawi Medical Centre Branch,Clinic,Residency And Fireign Affairs 36Th Street Jafflya,Dubai
Al Taif Medical Centre,Clinic,"#104, Haji Mohammad Mubarak Bl Opp: West Hotel Naif Road, Deira",Dubai
Al Waha Clinic Bur Dubai,Clinic,"Flat No. 104 & 105, Next To Ro Khalid Bin Waleed Road Burjuman,Bur Dubai",Dubai
Al Warqa Medical Centre (Aster),Clinic,"Mass Supermarket Building Mass Super Market Street Warqa 2,Bur Dubai",Dubai
Al-Barsha Health Centre (DHA),Clinic,Al Barsha 3 Al Barsha Al Barsha,Dubai
Alliance Medical Center,Clinic,201 Al Hudaiba Awards Bldg. Jumeirah Big Flag Jumeirah Beach Rd.,Dubai
Almezhar Health Center (DHA),Clinic,42 C Street Almezher Almezhar,Dubai
Alshifa Alkhaleej Medical Ctr,Clinic,"Near Caravan Resturant Abu Baker Siddique Street Clock Round About,Deira",Dubai
Amala Medical Center Llc,Clinic,2Nd Floor Al Khail Mall Moh Bint Latheefa Road Al Quoz 4,Dubai
Amber Clinics (Amber-GHI),Clinic,Al Rigga Busniess Center Rigga Street Rigga,Dubai
American Center For Psychiatry & Neurology L.L.C,Clinic,Sunset Malll  Office S01 & S02 2Nd Floor Jumeirah,Dubai
American Hosp Clinics Dubai Media City,Clinic,Business Central Towers Dubai Media City Al Safouf,Dubai
American Hospital Clinics Alkhawaneej Br,Clinic,Last Exit  Al Khawaneej,Dubai
American Hospital Clinics Dubai Albarsha,Clinic,Galleria Mall Unit 8 Al Barsha Mall,Dubai
American Wellness Centre Fz Llc,Clinic,Ibn Sina Building 26Th Street Dubai Healthcare City,Dubai
Anaya Medical Center,Clinic,"Latifa Bint Hamdan St Flat 104, Farnek Bldg Behind Alkhail Mall, Al Quoz 3",Dubai
Anaya Medical Center L.L.C (Branch),Clinic,"Crystal Mall Jabel Ali Jabel Ali, Industrial Area 1",Dubai
Angel Wings Medical Center Llc,Clinic,"Pinnacle Building Near To Ibis Hotel, Sheikh Zay Al Barsha 1",Dubai
Apple Clinic Fzco,Clinic,Shop No S6/S8 France Cluster France Cluster International City,Dubai
Apple International Polyclinic Llc,Clinic,"Bldg-K14, G-Floor, Greece Cluster International City",Dubai
Aqua Medical Center L.L.C,Clinic,"Al Fattan Building, 3 A Street 6, Al Qusais 1, Dubai",Dubai
Ashokan Medical Clinic,Clinic,"302 Al Lootha Bldg Naif Road, Deira Dubai",Dubai
Ashtree Clinic Llc,Clinic,208; F-2; A.Rehman M.Sh Buildi Fahidi Street Fahidi Street,Dubai
Asma Medical Clnic (Durraiya),Clinic,"206 Al Gaz Bld, 2Nd Floor Next Baniyas Square Area Deria",Dubai
Aster Al Nahda Medical Center (Moopens),Clinic,Opposite Nmc Specialty Hospita Amman Street Nahda,Dubai
Aster Beauty Clinic A+,Clinic,Shop 1 Raja & Sister Bldg. Aswaaq Mall Al Warqa,Dubai
Aster Jabal Ali Mc(Br Md) (Moopens),Clinic,Near Nesto Supermarket Jebel Ali Industrial Area Jebel Ali Industrial Area,Dubai
Aster Jubilee Medical Complex (Moopens),Clinic,Grnd Flr Al Futtaim Bldg. Khalid Bin Waleed Sts. Burjuman,Dubai
Aster Medical Center - Ras Al Khor,Clinic,Shop No. 16-17 Gf Marhaba Mall Ras Al Khor Industrial Area 3,Dubai
Aster Medical Center (Moopens) (Qusais),Clinic,Al Fattan Building Damascus Street Qusais,Dubai
Aster Medical Center Al Muhaisna,Clinic,"Muhaisnah Plaza,Beirut St. Near Al Madeena Mall Al Muhaisnah",Dubai
Aster Medical Center Alqusais,Clinic,Aqu Building Near Dubai Airport Fz Metro St Al Qusais 1,Dubai
Aster Medical Center Jlt A+(Moopens),Clinic,Near Carrefour Express And Dam Street No.5 Jlt,Dubai
Aster Medical Centre Abu Hail,Clinic,Grnd Flr Sheikh Suhail Bldg. 24 Street Hor Al Anz,Dubai
Aster Medical Centre Al Barsha,Clinic,Grnd Flr Arenco Bldg. Shop 1 & 13 Al Barsha 1,Dubai
Aster Medical Centre Al Quoz,Clinic,Grnd Flr Abdulla Asmawi Bldg Latifa Bint Hamdan St. Al Quoz 4,Dubai
Aster Medical Centre Aswaaq Mall A+,Clinic,Ground Aswaaq Aswaaq Al Barsha South Community Centre,Dubai
Aster Medical Centre Business Bay Br Of,Clinic,Busniess Bay Avenue Empower Pl Busniess Bay Busniess Bay,Dubai
Aster Medical Centre Deira,Clinic,"202 & 204 Sheikha Rajaa Majed Opp Al Futtaim Mosque Naif Road, Deira",Dubai
Aster Medical Centre Dubai Land,Clinic,"Skycourts  Tower D Ground Floor, R 7B Wadi Al Safa - 5, Dubai Land",Dubai
Aster Medical Centre International City,Clinic,V-19 Russia Cluster International City,Dubai
Aster Medical Centre Jabal Ali 2,Clinic,Cig Central Mall Mezzanine Floor Jabal Ali Industrial Area - 1,Dubai
Aster Medical Centre Silicon Oasis A+,Clinic,Silicon Gate 1 Opp. Choitram Dubai Silicon Oasis,Dubai
Aster Medical Ctr Arabian Ranches (Prem),Clinic,1St Flr Arabian Ranches 2 Mall The Village Mall Arabian Ranch Community Centre,Dubai
Aster Orthopedics And Physiotherapy Cent,Clinic,Hanbal Al Madani Building Ground Floornear Dubai Library Al Warqa-1,Dubai
Aster Specialist Centre For Ortho&Physio,Clinic,Grnd Flr Al Ahbabi Bldg Damascus Street Al Qusais 2,Dubai
Aster Specialist Medical Cntre Int'Lcity,Clinic,"Grnd Flr The Pavilion Mall Opp To Kfc, France Cluster International City",Dubai
Atlanta Vision Clinic,Clinic,"Next To Umm Suqeim Rd. Opp Dubai Police 1185B Al Wasl,Um Suqeim3",Dubai
Axon Medic Poly Clinic,Clinic,The Gardens- Bld -8 Near To Bubbles And Giggles The Gardens,Dubai
Axon Medica Investment Management L.L.C,Clinic,"No: 7,8,9, Lynx Building Silicon Oasis",Dubai
Axon Medica Polyclinic Br Of Amled Inv,Clinic,Rashidiya Central Market Bldg Union Cooperative Society Rashidiya,Dubai
Badr Al Samaa Medical Center,Clinic,"Near Burjuman,Oriental House 2 Bank Street Burjuman",Dubai
Bayti Home Health Care Center L.L.C,Clinic,"Behind Mall Of Emirates Suite No. 904, 9Th Floor Al Barsha 1,",Dubai
Beijin Tong Ren Tang Gulf Fz-Llc,Clinic,"Office #9, Ground Floor, Build Oud Metha Road Dhcc",Dubai
Bella Vita Medical Center,Clinic,Mirdiff 35 Mall Op-Arabian Center Mirdiff ,Dubai
Best Health Medical Centre (Fmc),Clinic,"West Hotel, Hamidiya Complex 1St Flr, Naif Road Naif,Deira",Dubai
Better Life Clinic L.L.C.,Clinic,"Al Tawheedi Building 2, Floor Makhool Road Mankhool",Dubai
Bettercare Medical Center Llc,Clinic,"Groundfloor Morroco Cluster, J7, S1,S2,S3& International City",Dubai
Bissan Dental Center Llc,Clinic,Tameem House Al Thanyah Barsha Heights,Dubai
Bluebell Medical Center,Clinic,Al Attar Business Centre Opp.Union Co-Operative Society Karama,Dubai
Boston Diabetes &Endocrine Center,Clinic,"115, Mardoof Building Opposite Sheikh Zayed Road 2Nd Intercha Safa 1",Dubai
Bright Life Medical Center Llc,Clinic,Zabeel Catering Services Build Above Landmark Restaurant Dip2,Dubai
Care And Cure Medical Center L.L.C,Clinic,"Opposite Belhasa Driving Schoo Near Al Khail Mall Al Waha Street, Al Qouz 3",Dubai
Care One Polyclinic,Clinic,Al Ramla Hyper Market Bldg. Ground Floor  Dubai Investment Park 1,Dubai
Care Plus Med Ctr (Advanced Grp),Clinic,Awqaf Building Above Uae Excha Industrial Area 1 Industrial Area 1,Dubai
Central Polyclinic,Clinic,"641A; F-6; Al Ghurair Center Rigga Street Muraqqabat,Deira",Dubai
Clinicare (Imara),Clinic,"Ahmed Plaza Building Opposite To Al Futtaim Mosque Naif Road, Deira",Dubai
Clinicare Samari (Imara),Clinic,"Samari Retail Mall, Next To Samari Residence Oman/Hatta Road, Ras Al Khor",Dubai
Community Healthcare Llc,Clinic,"Nuzul Accommodation 839 Parco Hypermarket Industrial Area 1, Jebel Ali",Dubai
Community Medical Center,Clinic,174 Villa Mankhool Street Satwa,Dubai
Core Care Polyclinic,Clinic,"Block A, 1St Flr, The Sustainable City Al Qudra Road",Dubai
Cosmesure Clinics Llc Branch - Marina,Clinic,"27Th Floor, Al Habtoor Busines Sufouh Road Dubai Marina",Dubai
Cosmopolitan Medical Center,Clinic,"Abdukka Al Fahlani Building, M Fahidi Street Bur Dubai",Dubai
Cosmopolitan Medical Centre Llc  Branch,Clinic,Al Wuheida Bld M-Floor Al Wuheida,Dubai
Digital Polyclinic,Clinic,"Officecourtbuilding Suite 11, First Floor Oud Metha",Dubai
Docib Clinic Llc (Lulu),Clinic,"Lulu Village Building, 13-20 Amman Street Muhaisnah",Dubai
Doctor Rachida Sabrane Clinic,Clinic,Emirayes Islamic Bank Building Dhiyafa Road Hudaiba,Dubai
Doctors Clinic & Diagnostic Centre,Clinic,03R1-R3 Ground Floor 64 Al Razi Bldg Dubai Healthcare City,Dubai
Doctors Clinic (Avivo),Clinic,"Office # 2062Nd Floor, Al Owai Baniyas Road Baniyas Square",Dubai
Dr Hassan Fayek Polyclinic,Clinic,Opp-Al Kabyl Center Abubakker Siddique Road Deira ,Dubai
Dr Sai Ganesh Medical Centre,Clinic,Sapphire Tower Near Dnata Deira,Dubai
Dr Sai Ganesh Medical Centre Llc,Clinic,Abdulla Al Fahedi Building Above Liitle Hut Restaurant  Al Qusais ,Dubai
Dr Sulaiman Al Habib Medical Center (Br (Except Psychiatric Services),Clinic,"Indigo Central 1 Plot 357-0709 Al Safa 2, Sheikh Zayed Road",Dubai
Dr. Abdulla S Clinic Llc,Clinic,Opposite To Dubai Ambulance Lulu Village Al Qusais,Dubai
Dr. John Clinic (Imara),Clinic,"Mozna Building, Near Al Nahda Station Doha Street, Al Nahda",Dubai
Dr. Joseph'S Polyclinic(GHI) (Ex Dental),Clinic,"Near Al Karama Metro Station,A Shaik Khalifa Bin Zayed Street Hudaiba,Bur Dubai",Dubai
Dr. K Medical Center Dmcc,Clinic,Unit 101 The Dome Tower Cluster Jlt,Dubai
Dr. Koyas Clinic-Aster,Clinic,Behind Naif Police Station Deira ,Dubai
Dr. Mansoori Clinic,Clinic,Zeena Building  Port Saeed Port Saeed Area,Dubai
Dr. Moopen'S Al Qouz Medical Ctr (Aster),Clinic,"Grand Mall Grand Mall Qouz 1,Bur Dubai",Dubai
Dr. Moopens M C Karama (Aster),Clinic,"Ground Floor, Al Shorouq Build Zabeel Road Karama",Dubai
Dr. Moopen'S Polyclinic (Aster),Clinic,"Shop 2&3, Al Ghurair Real Bldg Near Dubai Palm Hotel Al Muteena",Dubai
Dr. Radhakrishnan  Medical Centre,Clinic,Hor Al Anz Aboobacker Al Siddique Rd Flat No.1 M/F Al Falasi Bldg,Dubai
Dr. Radhi Al-Hilou Ent Clinic,Clinic,"Zabeel Building, 1St Floor, Fl Umm Hurair Road Karama,Bur Dubai",Dubai
Dr. Salah Al Rubaie Clinic,Clinic,"206, F-2, Abv.Alia Pharmacy Murrakkabat Street Rigga,Deira",Dubai
Dr. Shanil Medical Center L.L.C,Clinic,"C-12,Shp.1 G/F China Cluster International City",Dubai
Dr. Zuhair Sikafi Clinic,Clinic,"Al Ain Centre, Suite 115 Mankhool Road Burjuman",Dubai
Dr.Azzam Abdulrazzak Clinic,Clinic,Office # 2062Nd Floordubai Isl Dhiyafa Road Satwa,Dubai
Dr.Ismail Medical Center Al Qouz,Clinic,Awqaf Building 1 Al Khail Gate Industrial Area 2,Dubai
Dr.Ismail Medical Center Al Qsais,Clinic,Al Awqaf Building 1 Sonapur Street Mohaisanah 2,Dubai
Dr.Ismail Medical Center Jebel Ali,Clinic,"06-07-Discovery Grand 12 Build Discovery Gardens,Zen Cluster3 Discovery Gardens",Dubai
Dr.Ismail Polyclinic,Clinic,"Opp. New Sindh Punjab Restaura Lulu Hyber Market Street Karama,Bur Dubai",Dubai
"Dr.Ismail Polyclinic-Branch, Jebal Ali",Clinic,Awqaf Building Near Grand Mini Mall Jebal Ali Ind-1,Dubai
Dr.Johnny Sayegh Clinic,Clinic,"Al Wadi Building, Flat No. 302 Mazaya Center Street Sheikh Zayed Road",Dubai
Dr.Joseph'S Qusais Polyclinic(Amber-GHI),Clinic,Clinic # 3 & 4Ground Floorqusa Street # 32A Qusais 1,Dubai
Dr.Madiha Al Haddad Clinic,Clinic,"Office # 312, 3Rd Floor, Yousuf Al Otaiba Building 2Nd December Street Diyafah",Dubai
Dr.Reena Beegum Clinic,Clinic,Omar Bin Al Khatab Bld Omar Bin Khatab Street Muteena,Dubai
Dr.Sanjay Medical Center,Clinic,Al Khail Mall Latifa Bint Hamdan Road Qouz 4,Dubai
Drs. Nicolas & Asp Centre (Br Marina)(Dental Only),Clinic,Lvl 1 Mesk Tower Emaar Above Marina Pharmacy Dubai Marina Walk,Dubai
Drs. Nicolas & Asp Centre (Br Mirdif)(Dental Only),Clinic,F3 Uptown Mirdif Next To Starbucks Coffee Shop Uptown Mirdif,Dubai
Drs. Nicolas & Asp Centre (Dental Only),Clinic,"Villa 446, Jumeirah Main Road Next To Jumeirah Beach Park Al Kahawer St., Jumeirah 3",Dubai
Drs. Nicolas & Asp Centre (Remal Br) (Dental Only),Clinic,Nspv-Ff-27 The New Springs Village Emirates Hills,Dubai
Drs. Nicolas & Asp Centre Br (Al Manzil) (Dental Only),Clinic,Grnd Flr Souk Al Manzil Next To Al Manzil Hotel Burj Khalifa Downtown,Dubai
Drs. Nicolas & Asp Centre Br (Pediatric)(Dental Only),Clinic,Villa No. 88B Jumeirah Beach Road Jumeirah 1,Dubai
